strategy_id,effective_strategy_id,strategy_name,governance_status,independent_algorithm_id,equivalence_group,ranking_group,native_ticket_count,constructed_ticket_count,evaluated_draws,replicates,complete_portfolios,completion_rate,m4plus_hits,m4plus_rate,confidence_interval_95,paired_difference_vs_random,paired_interval_95,credible_random_advantage,runtime_seconds,total_ticket_evaluations,governance_note
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,acb_hot_fourier_3bet_biglotto,REJECTED,acb_hot_fourier_3bet_biglotto,,adapter,3.0,17.0,2025,1,2025,1.0,36,0.017777777777777778,"[0.012868790714,0.024512867912]",-0.002567901234567902,"[-0.008592592593,0.003654320988]",False,24.101067,40500,Historical comparison only; no promotion and no future-probability claim.
apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,apriori_3bet_biglotto,REJECTED,apriori_3bet_biglotto,,adapter,3.0,17.0,2025,1,2025,1.0,26,0.012839506172839505,"[0.008776997886,0.018746818023]",-0.007506172839506174,"[-0.012395061728,-0.001827160494]",False,21.325334,40500,Historical comparison only; no promotion and no future-probability claim.
biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,Deleted combined orthogonal/P1 10-bet,DELETED,biglotto_10bet_combined,,adapter,9.854321,10.145679,2025,1,2025,1.0,36,0.017777777777777778,"[0.012868790714,0.024512867912]",-0.002567901234567902,"[-0.008395061728,0.003851851852]",False,29.887944,40500,Historical comparison only; no promotion and no future-probability claim.
biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,Historical Big Lotto orthogonal 5-bet,UNKNOWN,biglotto_5bet_orthogonal,,adapter,5.0,15.0,2025,1,2025,1.0,33,0.016296296296296295,"[0.011627193628,0.022797112183]",-0.0040493827160493845,"[-0.009679012346,0.002123456790]",False,20.458448,40500,Historical comparison only; no promotion and no future-probability claim.
biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet@sp20_v1,大樂透 TS3+ACB 4注,REJECTED,biglotto_ts3_acb_4bet,ts3_acb_aliases,adapter,4.0,16.0,2025,1,2025,1.0,48,0.023703703703703703,"[0.017924918893,0.031286150995]",0.0033580246913580236,"[-0.003259259259,0.010370370370]",False,23.629895,40500,Historical comparison only; no promotion and no future-probability claim.
biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet@sp20_v1,大樂透 TS3+Markov 頻率正交 5注,REJECTED,biglotto_ts3_markov_freq_5bet,ts3_markov_freq_aliases,adapter,5.0,15.0,2025,1,2025,1.0,42,0.02074074074074074,"[0.015380808410,0.027915555847]",0.0003950617283950607,"[-0.006074074074,0.007160493827]",False,21.641748,40500,Historical comparison only; no promotion and no future-probability claim.
cluster_pivot_biglotto,cluster_pivot_biglotto@sp20_v1,cluster_pivot_biglotto,REJECTED,cluster_pivot_biglotto,,adapter,4.0,16.0,2025,1,2025,1.0,37,0.018271604938271607,"[0.013284929672,0.025082513226]",-0.002074074074074075,"[-0.008049382716,0.004049382716]",False,23.241291,40500,Historical comparison only; no promotion and no future-probability claim.
gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto@sp20_v1,gap_dynamic_threshold_biglotto,REJECTED,gap_dynamic_threshold_biglotto,,adapter,3.0,17.0,2025,1,2025,1.0,34,0.016790123456790124,"[0.012039875468,0.023370214615]",-0.0035555555555555566,"[-0.009086419753,0.002567901235]",False,22.292362,40500,Historical comparison only; no promotion and no future-probability claim.
hot_stop_rebound_biglotto,hot_stop_rebound_biglotto@sp20_v1,hot_stop_rebound_biglotto,REJECTED,hot_stop_rebound_biglotto,,adapter,1.0,19.0,2025,1,2025,1.0,31,0.015308641975308642,"[0.010805644274,0.021647092993]",-0.005037037037037039,"[-0.010567901235,0.000740740741]",False,19.863488,40500,Historical comparison only; no promotion and no future-probability claim.
markov_repeat_exception_biglotto,markov_repeat_exception_biglotto@sp20_v1,markov_repeat_exception_biglotto,REJECTED,markov_repeat_exception_biglotto,,adapter,4.0,16.0,2025,1,2025,1.0,37,0.018271604938271607,"[0.013284929672,0.025082513226]",-0.002074074074074075,"[-0.008000000000,0.004543209877]",False,21.940261,40500,Historical comparison only; no promotion and no future-probability claim.
neighbor_injection_biglotto,neighbor_injection_biglotto@sp20_v1,neighbor_injection_biglotto,REJECTED,neighbor_injection_biglotto,,adapter,3.0,17.0,2025,1,2025,1.0,26,0.012839506172839505,"[0.008776997886,0.018746818023]",-0.007506172839506174,"[-0.012444444444,-0.002271604938]",False,28.804293,40500,Historical comparison only; no promotion and no future-probability claim.
predict_biglotto_regime,predict_biglotto_regime@sp20_v1,Deleted Big Lotto sum-regime 3-bet,DELETED,predict_biglotto_regime,,adapter,3.0,17.0,2025,1,2025,1.0,40,0.019753086419753086,"[0.014539567877,0.026785227837]",-0.0005925925925925936,"[-0.006666666667,0.006172839506]",False,23.04233,40500,Historical comparison only; no promotion and no future-probability claim.
